Wavelength_nm,SPD_W_sr_m2_nm,x_bar,y_bar,z_bar,S_x_x_bar,S_x_y_bar,S_x_z_bar
380,9.08000000e-05,1.36800000e-03,3.90000000e-05,6.45000100e-03,1.24214400e-07,3.54120000e-09,5.85660091e-07
381,6.31000000e-05,1.50205000e-03,4.28264000e-05,7.08321600e-03,9.47793550e-08,2.70234584e-09,4.46950930e-07
382,8.38000000e-05,1.64232800e-03,4.69146000e-05,7.74548800e-03,1.37627086e-07,3.93144348e-09,6.49071894e-07
383,8.74000000e-05,1.80238200e-03,5.15896000e-05,8.50115200e-03,1.57528187e-07,4.50893104e-09,7.43000685e-07
384,1.03000000e-04,1.99575700e-03,5.71764000e-05,9.41454400e-03,2.05562971e-07,5.88916920e-09,9.69698032e-07
385,8.71000000e-05,2.23600000e-03,6.40000000e-05,1.05499900e-02,1.94755600e-07,5.57440000e-09,9.18904129e-07
386,6.26000000e-05,2.53538500e-03,7.23442100e-05,1.19658000e-02,1.58715101e-07,4.52874755e-09,7.49059080e-07
387,7.68000000e-05,2.89260300e-03,8.22122400e-05,1.36558700e-02,2.22151910e-07,6.31390003e-09,1.04877082e-06
388,9.52000000e-05,3.30082900e-03,9.35081600e-05,1.55880500e-02,3.14238921e-07,8.90197683e-09,1.48398236e-06
389,9.83000000e-05,3.75323600e-03,1.06136100e-04,1.77301500e-02,3.68943099e-07,1.04331786e-08,1.74287375e-06
390,7.90000000e-05,4.24300000e-03,1.20000000e-04,2.00500100e-02,3.35197000e-07,9.48000000e-09,1.58395079e-06
391,9.79000000e-05,4.76238900e-03,1.34984000e-04,2.25113600e-02,4.66237883e-07,1.32149336e-08,2.20386214e-06
392,7.41000000e-05,5.33004800e-03,1.51492000e-04,2.52028800e-02,3.94956557e-07,1.12255572e-08,1.86753341e-06
393,9.38000000e-05,5.97871200e-03,1.70208000e-04,2.82797200e-02,5.60803186e-07,1.59655104e-08,2.65263774e-06
394,9.89000000e-05,6.74111700e-03,1.91816000e-04,3.18970400e-02,6.66696471e-07,1.89706024e-08,3.15461726e-06
395,8.94000000e-05,7.65000000e-03,2.17000000e-04,3.62100000e-02,6.83910000e-07,1.93998000e-08,3.23717400e-06
396,8.98000000e-05,8.75137300e-03,2.46906700e-04,4.14377100e-02,7.85873295e-07,2.21722217e-08,3.72110636e-06
397,6.52000000e-05,1.00288800e-02,2.81240000e-04,4.75037200e-02,6.53882976e-07,1.83368480e-08,3.09724254e-06
398,7.70000000e-05,1.14217000e-02,3.18520000e-04,5.41198800e-02,8.79470900e-07,2.45260400e-08,4.16723076e-06
399,9.53000000e-05,1.28690100e-02,3.57266700e-04,6.09980300e-02,1.22641665e-06,3.40475165e-08,5.81311226e-06
400,1.12000000e-04,1.43100000e-02,3.96000000e-04,6.78500100e-02,1.60272000e-06,4.43520000e-08,7.59920112e-06
401,1.23000000e-04,1.57044300e-02,4.33714700e-04,7.44863200e-02,1.93164489e-06,5.33469081e-08,9.16181736e-06
402,1.05000000e-04,1.71474400e-02,4.73024000e-04,8.13615600e-02,1.80048120e-06,4.96675200e-08,8.54296380e-06
403,1.15000000e-04,1.87812200e-02,5.17876000e-04,8.91536400e-02,2.15984030e-06,5.95557400e-08,1.02526686e-05
404,1.34000000e-04,2.07480100e-02,5.72218700e-04,9.85404800e-02,2.78023334e-06,7.66773058e-08,1.32044243e-05
405,1.23000000e-04,2.31900000e-02,6.40000000e-04,1.10200000e-01,2.85237000e-06,7.87200000e-08,1.35546000e-05
406,1.20000000e-04,2.62073600e-02,7.24560000e-04,1.24613300e-01,3.14488320e-06,8.69472000e-08,1.49535960e-05
407,1.30000000e-04,2.97824800e-02,8.25500000e-04,1.41701700e-01,3.87172240e-06,1.07315000e-07,1.84212210e-05
408,1.30000000e-04,3.38809200e-02,9.41160000e-04,1.61303500e-01,4.40451960e-06,1.22350800e-07,2.09694550e-05
409,1.49000000e-04,3.84682400e-02,1.06988000e-03,1.83256800e-01,5.73176776e-06,1.59412120e-07,2.73052632e-05
410,1.53000000e-04,4.35100000e-02,1.21000000e-03,2.07400000e-01,6.65703000e-06,1.85130000e-07,3.17322000e-05
411,1.52000000e-04,4.89956000e-02,1.36209100e-03,2.33692100e-01,7.44733120e-06,2.07037832e-07,3.55211992e-05
412,1.87000000e-04,5.50226000e-02,1.53075200e-03,2.62611400e-01,1.02892262e-05,2.86250624e-07,4.91083318e-05
413,1.70000000e-04,6.17188000e-02,1.72036800e-03,2.94774600e-01,1.04921960e-05,2.92462560e-07,5.01116820e-05
414,2.05000000e-04,6.92120000e-02,1.93532300e-03,3.30798500e-01,1.41884600e-05,3.96741215e-07,6.78136925e-05
415,2.06000000e-04,7.76300000e-02,2.18000000e-03,3.71300000e-01,1.59917800e-05,4.49080000e-07,7.64878000e-05
416,2.30000000e-04,8.69581100e-02,2.45480000e-03,4.16209100e-01,2.00003653e-05,5.64604000e-07,9.57280930e-05
417,2.48000000e-04,9.71767200e-02,2.76400000e-03,4.65464200e-01,2.40998266e-05,6.85472000e-07,1.15435122e-04
418,2.65000000e-04,1.08406300e-01,3.11780000e-03,5.19694800e-01,2.87276695e-05,8.26217000e-07,1.37719122e-04
419,3.00000000e-04,1.20767200e-01,3.52640000e-03,5.79530300e-01,3.62301600e-05,1.05792000e-06,1.73859090e-04
420,3.26000000e-04,1.34380000e-01,4.00000000e-03,6.45600000e-01,4.38078800e-05,1.30400000e-06,2.10465600e-04
421,3.51000000e-04,1.49358200e-01,4.54624000e-03,7.18483800e-01,5.24247282e-05,1.59573024e-06,2.52187814e-04
422,3.57000000e-04,1.65395700e-01,5.15932000e-03,7.96713300e-01,5.90462649e-05,1.84187724e-06,2.84426648e-04
423,3.96000000e-04,1.81983100e-01,5.82928000e-03,8.77845900e-01,7.20653076e-05,2.30839488e-06,3.47626976e-04
424,4.50000000e-04,1.98611000e-01,6.54616000e-03,9.59439000e-01,8.93749500e-05,2.94577200e-06,4.31747550e-04
425,4.87000000e-04,2.14770000e-01,7.30000000e-03,1.03905010e+00,1.04592990e-04,3.55510000e-06,5.06017399e-04
426,5.71000000e-04,2.30186800e-01,8.08650700e-03,1.11536730e+00,1.31436663e-04,4.61739550e-06,6.36874728e-04
427,6.34000000e-04,2.44879700e-01,8.90872000e-03,1.18849710e+00,1.55253730e-04,5.64812848e-06,7.53507161e-04
428,7.05000000e-04,2.58777300e-01,9.76768000e-03,1.25812330e+00,1.82437997e-04,6.88621440e-06,8.86976927e-04
429,8.16000000e-04,2.71807900e-01,1.06644300e-02,1.32392960e+00,2.21795246e-04,8.70217488e-06,1.08032655e-03
430,9.02000000e-04,2.83900000e-01,1.16000000e-02,1.38560000e+00,2.56077800e-04,1.04632000e-05,1.24981120e-03
431,1.03000000e-03,2.94943800e-01,1.25731700e-02,1.44263520e+00,3.03792114e-04,1.29503651e-05,1.48591426e-03
432,1.18000000e-03,3.04896500e-01,1.35827200e-02,1.49480350e+00,3.59777870e-04,1.60276096e-05,1.76386813e-03
433,1.36000000e-03,3.13787300e-01,1.46296800e-02,1.54219030e+00,4.26750728e-04,1.98963648e-05,2.09737881e-03
434,1.50000000e-03,3.21645400e-01,1.57150900e-02,1.58488070e+00,4.82468100e-04,2.35726350e-05,2.37732105e-03
435,1.72000000e-03,3.28500000e-01,1.68400000e-02,1.62296000e+00,5.65020000e-04,2.89648000e-05,2.79149120e-03
436,1.98000000e-03,3.34351300e-01,1.80073600e-02,1.65640480e+00,6.62015574e-04,3.56545728e-05,3.27968150e-03
437,2.26000000e-03,3.39210100e-01,1.92144800e-02,1.68529590e+00,7.66614826e-04,4.34247248e-05,3.80876873e-03
438,2.60000000e-03,3.43121300e-01,2.04539200e-02,1.70987450e+00,8.92115380e-04,5.31801920e-05,4.44567370e-03
439,2.93000000e-03,3.46129600e-01,2.17182400e-02,1.73038210e+00,1.01415973e-03,6.36344432e-05,5.07001955e-03
440,3.31000000e-03,3.48280000e-01,2.30000000e-02,1.74706000e+00,1.15280680e-03,7.61300000e-05,5.78276860e-03
441,3.82000000e-03,3.49599900e-01,2.42946100e-02,1.76004460e+00,1.33547162e-03,9.28054102e-05,6.72337037e-03
442,4.31000000e-03,3.50147400e-01,2.56102400e-02,1.76962330e+00,1.50913529e-03,1.10380134e-04,7.62707642e-03
443,4.88000000e-03,3.50013000e-01,2.69585700e-02,1.77626370e+00,1.70806344e-03,1.31557822e-04,8.66816686e-03
444,5.48000000e-03,3.49287000e-01,2.83512500e-02,1.78043340e+00,1.91409276e-03,1.55364850e-04,9.75677503e-03
445,6.26000000e-03,3.48060000e-01,2.98000000e-02,1.78260000e+00,2.17885560e-03,1.86548000e-04,1.11590760e-02
446,7.06000000e-03,3.46373300e-01,3.13108300e-02,1.78296820e+00,2.44539550e-03,2.21054460e-04,1.25877555e-02
447,7.88000000e-03,3.44262400e-01,3.28836800e-02,1.78169980e+00,2.71278771e-03,2.59123398e-04,1.40397944e-02
448,9.09000000e-03,3.41808800e-01,3.45211200e-02,1.77919820e+00,3.10704199e-03,3.13796981e-04,1.61729116e-02
449,1.01000000e-02,3.39094100e-01,3.62257100e-02,1.77586710e+00,3.42485041e-03,3.65879671e-04,1.79362577e-02
450,1.14000000e-02,3.36200000e-01,3.80000000e-02,1.77211000e+00,3.83268000e-03,4.33200000e-04,2.02020540e-02
451,1.27000000e-02,3.33197700e-01,3.98466700e-02,1.76825890e+00,4.23161079e-03,5.06052709e-04,2.24568880e-02
452,1.44000000e-02,3.30041100e-01,4.17680000e-02,1.76403900e+00,4.75259184e-03,6.01459200e-04,2.54021616e-02
453,1.62000000e-02,3.26635700e-01,4.37660000e-02,1.75894380e+00,5.29149834e-03,7.09009200e-04,2.84948896e-02
454,1.80000000e-02,3.22886800e-01,4.58426700e-02,1.75246630e+00,5.81196240e-03,8.25168060e-04,3.15443934e-02
455,2.04000000e-02,3.18700000e-01,4.80000000e-02,1.74410000e+00,6.50148000e-03,9.79200000e-04,3.55796400e-02
456,2.32000000e-02,3.14025100e-01,5.02436800e-02,1.73355950e+00,7.28538232e-03,1.16565338e-03,4.02185804e-02
457,2.56000000e-02,3.08884000e-01,5.25730400e-02,1.72085810e+00,7.90743040e-03,1.34586982e-03,4.40539674e-02
458,2.87000000e-02,3.03290400e-01,5.49805600e-02,1.70593690e+00,8.70443448e-03,1.57794207e-03,4.89603890e-02
459,3.19000000e-02,2.97257900e-01,5.74587200e-02,1.68873720e+00,9.48252701e-03,1.83293317e-03,5.38707167e-02
460,3.52000000e-02,2.90800000e-01,6.00000000e-02,1.66920000e+00,1.02361600e-02,2.11200000e-03,5.87558400e-02
461,3.78000000e-02,2.83970100e-01,6.26019700e-02,1.64752870e+00,1.07340698e-02,2.36635447e-03,6.22765849e-02
462,4.10000000e-02,2.76721400e-01,6.52775200e-02,1.62341270e+00,1.13455774e-02,2.67637832e-03,6.65599207e-02
463,4.39000000e-02,2.68917800e-01,6.80420800e-02,1.59602230e+00,1.18054914e-02,2.98704731e-03,7.00653790e-02
464,4.56000000e-02,2.60422700e-01,7.09110900e-02,1.56452800e+00,1.18752751e-02,3.23354570e-03,7.13424768e-02
465,4.67000000e-02,2.51100000e-01,7.39000000e-02,1.52810000e+00,1.17263700e-02,3.45113000e-03,7.13622700e-02
466,4.73000000e-02,2.40847500e-01,7.70160000e-02,1.48611140e+00,1.13920868e-02,3.64285680e-03,7.02930692e-02
467,4.68000000e-02,2.29851200e-01,8.02664000e-02,1.43952150e+00,1.07570362e-02,3.75646752e-03,6.73696062e-02
468,4.55000000e-02,2.18407200e-01,8.36668000e-02,1.38987990e+00,9.93752760e-03,3.80683940e-03,6.32395354e-02
469,4.38000000e-02,2.06811500e-01,8.72328000e-02,1.33873620e+00,9.05834370e-03,3.82079664e-03,5.86366456e-02
470,4.11000000e-02,1.95360000e-01,9.09800000e-02,1.28764000e+00,8.02929600e-03,3.73927800e-03,5.29220040e-02
471,3.83000000e-02,1.84213600e-01,9.49175500e-02,1.23742230e+00,7.05538088e-03,3.63534217e-03,4.73932741e-02
472,3.53000000e-02,1.73327300e-01,9.90458400e-02,1.18782430e+00,6.11845369e-03,3.49631815e-03,4.19301978e-02
473,3.25000000e-02,1.62688100e-01,1.03367400e-01,1.13876110e+00,5.28736325e-03,3.35944050e-03,3.70097358e-02
474,2.92000000e-02,1.52283300e-01,1.07884600e-01,1.09014800e+00,4.44667236e-03,3.15023032e-03,3.18323216e-02
475,2.65000000e-02,1.42100000e-01,1.12600000e-01,1.04190000e+00,3.76565000e-03,2.98390000e-03,2.76103500e-02
476,2.44000000e-02,1.32178600e-01,1.17532000e-01,9.94197600e-01,3.22515784e-03,2.86778080e-03,2.42584214e-02
477,2.24000000e-02,1.22569600e-01,1.22674400e-01,9.47347300e-01,2.74555904e-03,2.74790656e-03,2.12205795e-02
478,2.06000000e-02,1.13275200e-01,1.27992800e-01,9.01453100e-01,2.33346912e-03,2.63665168e-03,1.85699339e-02
479,1.91000000e-02,1.04297900e-01,1.33452800e-01,8.56619300e-01,1.99208989e-03,2.54894848e-03,1.63614286e-02
480,1.78000000e-02,9.56400000e-02,1.39020000e-01,8.12950100e-01,1.70239200e-03,2.47455600e-03,1.44705118e-02
481,1.68000000e-02,8.72995500e-02,1.44676400e-01,7.70517300e-01,1.46663244e-03,2.43056352e-03,1.29446906e-02
482,1.55000000e-02,7.93080400e-02,1.50469300e-01,7.29444800e-01,1.22927462e-03,2.33227415e-03,1.13063944e-02
483,1.46000000e-02,7.17177600e-02,1.56461900e-01,6.89913600e-01,1.04707930e-03,2.28434374e-03,1.00727386e-02
484,1.37000000e-02,6.45809900e-02,1.62717700e-01,6.52104900e-01,8.84759563e-04,2.22923249e-03,8.93383713e-03
485,1.27000000e-02,5.79500100e-02,1.69300000e-01,6.16200000e-01,7.35965127e-04,2.15011000e-03,7.82574000e-03
486,1.18000000e-02,5.18621100e-02,1.76243100e-01,5.82328600e-01,6.11972898e-04,2.07966858e-03,6.87147748e-03
487,1.10000000e-02,4.62815200e-02,1.83558100e-01,5.50416200e-01,5.09096720e-04,2.01913910e-03,6.05457820e-03
488,1.03000000e-02,4.11508800e-02,1.91273500e-01,5.20337600e-01,4.23854064e-04,1.97011705e-03,5.35947728e-03
489,9.58000000e-03,3.64128300e-02,1.99418000e-01,4.91967300e-01,3.48834911e-04,1.91042444e-03,4.71304673e-03
490,8.98000000e-03,3.20100000e-02,2.08020000e-01,4.65180000e-01,2.87449800e-04,1.86801960e-03,4.17731640e-03
491,8.53000000e-03,2.79172000e-02,2.17119900e-01,4.39924600e-01,2.38133716e-04,1.85203275e-03,3.75255684e-03
492,8.09000000e-03,2.41444000e-02,2.26734500e-01,4.16183600e-01,1.95328196e-04,1.83428211e-03,3.36692532e-03
493,7.80000000e-03,2.06870000e-02,2.36857100e-01,3.93882200e-01,1.61358600e-04,1.84748538e-03,3.07228116e-03
494,7.66000000e-03,1.75404000e-02,2.47481200e-01,3.72945900e-01,1.34359464e-04,1.89570599e-03,2.85676559e-03
495,7.60000000e-03,1.47000000e-02,2.58600000e-01,3.53300000e-01,1.11720000e-04,1.96536000e-03,2.68508000e-03
496,7.62000000e-03,1.21617900e-02,2.70184900e-01,3.34857800e-01,9.26728398e-05,2.05880894e-03,2.55161644e-03
497,7.75000000e-03,9.91996000e-03,2.82293900e-01,3.17552100e-01,7.68796900e-05,2.18777772e-03,2.46102878e-03
498,8.00000000e-03,7.96724000e-03,2.95050500e-01,3.01337500e-01,6.37379200e-05,2.36040400e-03,2.41070000e-03
499,8.30000000e-03,6.29634600e-03,3.08578000e-01,2.86168600e-01,5.22596718e-05,2.56119740e-03,2.37519938e-03
500,8.65000000e-03,4.90000000e-03,3.23000000e-01,2.72000000e-01,4.23850000e-05,2.79395000e-03,2.35280000e-03
501,9.18000000e-03,3.77717300e-03,3.38402100e-01,2.58817100e-01,3.46744481e-05,3.10653128e-03,2.37594098e-03
502,9.72000000e-03,2.94532000e-03,3.54685800e-01,2.46483800e-01,2.86285104e-05,3.44754598e-03,2.39582254e-03
503,1.03000000e-02,2.42488000e-03,3.71698600e-01,2.34771800e-01,2.49762640e-05,3.82849558e-03,2.41814954e-03
504,1.12000000e-02,2.23629300e-03,3.89287500e-01,2.23453300e-01,2.50464816e-05,4.36002000e-03,2.50267696e-03
505,1.21000000e-02,2.40000000e-03,4.07300000e-01,2.12300000e-01,2.90400000e-05,4.92833000e-03,2.56883000e-03
506,1.32000000e-02,2.92552000e-03,4.25629900e-01,2.01169200e-01,3.86168640e-05,5.61831468e-03,2.65543344e-03
507,1.42000000e-02,3.83656000e-03,4.44309600e-01,1.90119600e-01,5.44791520e-05,6.30919632e-03,2.69969832e-03
508,1.55000000e-02,5.17484000e-03,4.63394400e-01,1.79225400e-01,8.02100200e-05,7.18261320e-03,2.77799370e-03
509,1.69000000e-02,6.98208000e-03,4.82939500e-01,1.68560800e-01,1.17997152e-04,8.16167755e-03,2.84867752e-03
510,1.82000000e-02,9.30000000e-03,5.03000000e-01,1.58200000e-01,1.69260000e-04,9.15460000e-03,2.87924000e-03
511,1.98000000e-02,1.21494900e-02,5.23569300e-01,1.48138300e-01,2.40559902e-04,1.03666721e-02,2.93313834e-03
512,2.14000000e-02,1.55358800e-02,5.44512000e-01,1.38375800e-01,3.32467832e-04,1.16525568e-02,2.96124212e-03
513,2.31000000e-02,1.94775200e-02,5.65690000e-01,1.28994200e-01,4.49930712e-04,1.30674390e-02,2.97976602e-03
514,2.47000000e-02,2.39927700e-02,5.86965300e-01,1.20075100e-01,5.92621419e-04,1.44980429e-02,2.96585497e-03
515,2.63000000e-02,2.91000000e-02,6.08200000e-01,1.11700000e-01,7.65330000e-04,1.59956600e-02,2.93771000e-03
516,2.78000000e-02,3.48148500e-02,6.29345600e-01,1.03904800e-01,9.67852830e-04,1.74958077e-02,2.88855344e-03
517,2.93000000e-02,4.11201600e-02,6.50306800e-01,9.66674800e-02,1.20482069e-03,1.90539892e-02,2.83235716e-03
518,3.06000000e-02,4.79850400e-02,6.70875200e-01,8.99827200e-02,1.46834222e-03,2.05287811e-02,2.75347123e-03
519,3.16000000e-02,5.53786100e-02,6.90842400e-01,8.38453100e-02,1.74996408e-03,2.18306198e-02,2.64951180e-03
520,3.25000000e-02,6.32700000e-02,7.10000000e-01,7.82499900e-02,2.05627500e-03,2.30750000e-02,2.54312468e-03
521,3.31000000e-02,7.16350100e-02,7.28185200e-01,7.32089900e-02,2.37111883e-03,2.41029301e-02,2.42321757e-03
522,3.34000000e-02,8.04622400e-02,7.45463600e-01,6.86781600e-02,2.68743882e-03,2.48984842e-02,2.29385054e-03
523,3.36000000e-02,8.97399600e-02,7.61969400e-01,6.45678400e-02,3.01526266e-03,2.56021718e-02,2.16947942e-03
524,3.34000000e-02,9.94564500e-02,7.77836800e-01,6.07883500e-02,3.32184543e-03,2.59797491e-02,2.03033089e-03
525,3.30000000e-02,1.09600000e-01,7.93200000e-01,5.72500100e-02,3.61680000e-03,2.61756000e-02,1.88925033e-03
526,3.22000000e-02,1.20167400e-01,8.08110400e-01,5.39043500e-02,3.86939028e-03,2.60211549e-02,1.73572007e-03
527,3.11000000e-02,1.31114500e-01,8.22496200e-01,5.07466400e-02,4.07766095e-03,2.55796318e-02,1.57822050e-03
528,3.03000000e-02,1.42367900e-01,8.36306800e-01,4.77527600e-02,4.31374737e-03,2.53400960e-02,1.44690863e-03
529,2.90000000e-02,1.53854200e-01,8.49491600e-01,4.48985900e-02,4.46177180e-03,2.46352564e-02,1.30205911e-03
530,2.78000000e-02,1.65500000e-01,8.62000000e-01,4.21600000e-02,4.60090000e-03,2.39636000e-02,1.17204800e-03
531,2.64000000e-02,1.77257100e-01,8.73810800e-01,3.95072800e-02,4.67958744e-03,2.30686051e-02,1.04299219e-03
532,2.51000000e-02,1.89140000e-01,8.84962400e-01,3.69356400e-02,4.74741400e-03,2.22125562e-02,9.27084564e-04
533,2.37000000e-02,2.01169400e-01,8.95493600e-01,3.44583600e-02,4.76771478e-03,2.12231983e-02,8.16663132e-04
534,2.26000000e-02,2.13365800e-01,9.05443200e-01,3.20887200e-02,4.82206708e-03,2.04630163e-02,7.25205072e-04
535,2.11000000e-02,2.25749900e-01,9.14850100e-01,2.98400000e-02,4.76332289e-03,1.93033371e-02,6.29624000e-04
536,2.01000000e-02,2.38320900e-01,9.23734800e-01,2.77118100e-02,4.79025009e-03,1.85670695e-02,5.57007381e-04
537,1.90000000e-02,2.51066800e-01,9.32092400e-01,2.56944400e-02,4.77026920e-03,1.77097556e-02,4.88194360e-04
538,1.80000000e-02,2.63992200e-01,9.39922600e-01,2.37871600e-02,4.75185960e-03,1.69186068e-02,4.28168880e-04
539,1.69000000e-02,2.77101700e-01,9.47225200e-01,2.19892500e-02,4.68301873e-03,1.60081059e-02,3.71618325e-04
540,1.61000000e-02,2.90400000e-01,9.54000000e-01,2.03000000e-02,4.67544000e-03,1.53594000e-02,3.26830000e-04
541,1.53000000e-02,3.03891200e-01,9.60256100e-01,1.87180500e-02,4.64953536e-03,1.46919183e-02,2.86386165e-04
542,1.44000000e-02,3.17572600e-01,9.66007400e-01,1.72403600e-02,4.57304544e-03,1.39105066e-02,2.48261184e-04
543,1.36000000e-02,3.31438400e-01,9.71260600e-01,1.58636400e-02,4.50756224e-03,1.32091442e-02,2.15745504e-04
544,1.29000000e-02,3.45482800e-01,9.76022500e-01,1.45846100e-02,4.45672812e-03,1.25906902e-02,1.88141469e-04
545,1.22000000e-02,3.59700000e-01,9.80300000e-01,1.34000000e-02,4.38834000e-03,1.19596600e-02,1.63480000e-04
546,1.15000000e-02,3.74083900e-01,9.84092400e-01,1.23072300e-02,4.30196485e-03,1.13170626e-02,1.41533145e-04
547,1.07000000e-02,3.88639600e-01,9.87418200e-01,1.13018800e-02,4.15844372e-03,1.05653747e-02,1.20930116e-04
548,1.01000000e-02,4.03378400e-01,9.90312800e-01,1.03779200e-02,4.07412184e-03,1.00021593e-02,1.04816992e-04
549,9.52000000e-03,4.18311500e-01,9.92811600e-01,9.52930600e-03,3.98232548e-03,9.45156643e-03,9.07189931e-05
550,8.90000000e-03,4.33449900e-01,9.94950100e-01,8.74999900e-03,3.85770411e-03,8.85505589e-03,7.78749911e-05
